itemCode,itemName,description,iconPath
100,액션 포션,무작위 액션 카드 1장을 손으로 가져옵니다.,
102,파워 포션,무작위 파워 카드 1장을 손으로 가져옵니다.,
103,재활용 포션,버린 카드 더미에서 카드를1장 선택해 손으로 가져옵니다.,
104,예지 포션,뽑을 카드 더미에서 카드를1장 선택해 손으로 가져옵니다.,
105,화살,적에게 피해를 20 줍니다.,
106,격노 포션,이번턴에 힘을 5 얻습니다.,
107,힘포션,이번 전투에서 힘을 2 얻습니다.,
108,재사용 포션,다음에 사용하는 카드를 복사하고 소멸을 부여합니다.,
109,섬광탄,기절을 1 부여합니다.,

170,격노 포션,이번 전투에서 힘을 3 얻고 피해를 1씩 3번 받습니다.,
180,탄알집,발사카드를 두장 얻습니다.
190,화염병,화염을 4 부여합니다.,

200,채력 포션,채력을 20% 회복합니다.,
201,유령 병,공포를 1 부여합니다,
202,폭탄,모든 범위에 10 피해를 줍니다.,

204,사기 주사위, 무작위 액션 파워 이동 카드한장을 손으로 가져옵니다.,
205,포션 상자,빈 포션 슬롯을 무작위 포션으로 채웁니다.,
206,무지개 포션,뽑을 카드 더미 위에서부터3장의 카드를 사용합니다.\n 대상은 무작위 입니다.,
207,카드 병, 카드를 두장 뽑습니다.,
208,포탈건, 적과 위치를 바꿉니다.,
209,강화 포션, 손에 있는 모든 카드를 강화합니다.,

270,최후의 포션,이번턴에 데미지를 2 배 주고 2 배 받습니다.,
280,군번줄,회피를 1 얻습니다.,
290,임플란트,자신을 제외한 모든 아군 유닛의 체력을 10 증가시킵니다.,


700,성수,자신에게 걸린 해로운 효과를 모두 제거합니다,
800,???,아직 발견하지 못했습니다.,
