relicCode,relicName,description,iconPath
101,피의 약병,전투 시작 시 HP를 4 회복합니다.,
102,고대의 방패,전투 중 첫 번째 피해를 1회 완전히 무효화합니다.,
103,불타는 심장,전투 시작 시 에너지 최대치가 1 증가합니다.,
104,영혼의 보석,적을 처치할 때마다 HP를 1 회복합니다.,
105,힘,힘이 1 증가합니다.,
106,최대채력, 최대채력이7 증가합니다., 
107,이동, 3번째 이동시 카드의 비용이 1 하락합니다, 
201,담배, 휴식 장소에서 제거가 가능합니다.,
202,삽, 휴식 장소에서 발굴이 가능합니다.,
203,어둠의 왕관,매 턴 시작 시 에너지 +1을 얻지만 HP 1을 잃습니다.,
301,장인의 망치,휴식 장소에서 두장의 카드를 강화할수있습니다.,
302,고급 베게 ,휴식 장소에서 휴식시 30%채력을 더 회복합니다.,
303,반사, 공격받은만큼 피해를 되돌려줍니다.,
901,영혼이 담긴 구슬,에너지가 1 증가합니다.,
902,영혼이 담긴 카드,카드를 매턴 한장 더 뽑습니다. ,
